formula,temperature_K,Fe_count,B_count,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom,raw_PotEng_eV,raw_PotEng_err_eV,Enthalpy_norm_eV_per_atom,Enthalpy_norm_err_eV_per_atom,raw_Enthalpy_eV,raw_Enthalpy_err_eV,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom,raw_Free_eV,raw_Free_err_eV
Fe324B36,1200.0,324,36,0.1,0.10671761212777714,0.0004862301273234571,-4837.5616,0.150037,0.1070614134277781,0.0008283356422437393,-4781.998226,0.234838,0.05625239730000118,0.0008283356422437393,-5065.936956,0.234838
Fe128B32,1200.0,128,32,0.2,0.03791268747777714,0.0007190521438624725,-2047.855692,0.108972,0.037279621966665746,0.0011589911130435297,-2023.317184,0.167511,-0.010781089899999863,0.0011589911130435297,-2143.072354,0.167511
Fe252B108,1200.0,252,108,0.3,-0.016446348283332354,0.0006666572467568333,-4372.588494,0.226839,-0.015942647272224993,0.0009987492494285663,-4316.967674,0.307994,-0.06337054376666819,0.0009987492494285663,-4572.688785,0.307994
Fe216B144,1200.0,216,144,0.4,-0.043740375711111154,0.0010180127752460683,-4127.758278,0.358369,-0.04299504984444569,0.001307585700698333,-4072.050532,0.425047,-0.09428957679999901,0.001307585700698333,-4315.663422,0.425047
Fe200B200,1200.0,200,200,0.5,-0.012300754805555697,0.0007741377341703226,-4290.871054,0.297222,-0.0112974965833331,0.0011965405172235544,-4228.870451,0.406727,-0.07169506900000044,0.0011965405172235544,-4488.192427,0.406727
Fe160B240,1200.0,160,240,0.6,0.09527389443333391,0.0006645118817721471,-3964.89001,0.24944,0.09535653389999936,0.0011920463585964305,-3903.25772,0.381435,0.012797648800000162,0.0011920463585964305,-4156.44399,0.381435
Fe120B280,1200.0,120,280,0.7,0.14905109367222338,0.001044346505223682,-3660.427946,0.405689,0.1500948968833336,0.0014527617892935055,-3598.411256,0.482194,0.07555030660000056,0.0014527617892935055,-3833.391577,0.482194
Fe135B405,1200.0,135,405,0.75,0.16374948014352042,0.000983117950710175,-4742.648549,0.511844,0.16429559948611078,0.0014035804948440802,-4659.194811,0.598388,0.09347957100925905,0.0014035804948440802,-4964.279665,0.598388
Fe72B288,1200.0,72,288,0.8,0.09981556457777793,0.0008113006220898609,-3057.453876,0.274902,0.0995940065333337,0.0014137428239562042,-3002.094444,0.388374,0.045641849399999046,0.0014137428239562042,-3192.663249,0.388374
Fe81B459,1200.0,81,459,0.85,0.11142462493796251,0.0004944220086235556,-4388.919872,0.216941,0.11288099876574051,0.0012484863913111144,-4304.974685,0.426296,0.06187242408703797,0.0012484863913111144,-4579.113202,0.426296
Fe54B486,1200.0,54,486,0.9,0.10176907418703851,0.0005797641669085864,-4203.14182,0.266833,0.10283958729444377,0.001338217371894262,-4119.405042,0.466617,0.05717583488518459,0.001338217371894262,-4380.532199,0.466617
Fe324B36,1500.0,324,36,0.1,0.13015543598333354,0.0006710060239414904,-4811.193694,0.216856,0.13155771757222065,0.00131496914832916,-4741.453523,0.36145,0.05407021308333305,0.00131496914832916,-5136.114723,0.36145
Fe128B32,1500.0,128,32,0.2,0.06822716902222226,0.000972709428555907,-2035.10961,0.149337,0.06842270975555564,0.0018149133424954298,-2004.329434,0.26126,-0.004690142999999836,0.0018149133424954298,-2171.397074,0.26126
Fe252B108,1500.0,252,108,0.3,0.01702891594999932,0.0008259073957604844,-4342.936746,0.282013,0.018232676938889844,0.0013246948897348396,-4273.368739,0.388933,-0.05791801852777591,0.0013246948897348396,-4633.180417,0.388933
Fe216B144,1500.0,216,144,0.4,0.00398282537777719,0.0009084436457553753,-4093.142091,0.313333,0.00487937884444452,0.0014092648079486378,-4023.735027,0.423668,-0.08152361211111206,0.0014092648079486378,-4370.053396,0.423668
Fe200B200,1500.0,200,200,0.5,0.055936309805556444,0.0007462033221033694,-4244.38621,0.278279,0.05750985463888924,0.0012957351727140606,-4167.052396,0.402202,-0.054979843750001006,0.0012957351727140606,-4543.191783,0.402202
Fe160B240,1500.0,160,240,0.6,0.15034654006666698,0.000661617062163508,-3923.854065,0.237988,0.1527916662666672,0.0012643393757472933,-3846.227561,0.360085,0.011297838499999671,0.0012643393757472933,-4214.875116,0.360085
Fe120B280,1500.0,120,280,0.7,0.22801516282777812,0.0007433947852582002,-3610.018563,0.268965,0.2298947028944451,0.0014610068460528137,-3532.674236,0.433157,0.08431265824999969,0.0014610068460528137,-3883.863594,0.433157
Fe135B405,1500.0,135,405,0.75,0.2555368042083341,0.0006847367818714719,-4667.794938,0.323012,0.25811755125462915,0.0013875496939135784,-4563.039206,0.49976,0.1177505895138876,0.0013875496939135784,-5021.440593,0.49976
Fe72B288,1500.0,72,288,0.8,0.20027964364444542,0.004013223897540145,-3004.510246,1.43923,0.20167368924444481,0.004170031459032158,-2935.125478,1.448978,0.09365778300000077,0.004170031459032158,-3220.487955,1.448978
Fe81B459,1500.0,81,459,0.85,0.1910949108583332,0.0038104207477213307,-4320.856689,2.047929,0.1933751179750002,0.004013672692189013,-4216.338771,2.076504,0.10220668389351802,0.004013672692189013,-4622.39675,2.076504
Fe54B486,1500.0,54,486,0.9,0.13228717622037123,0.001157631580863878,-4161.74443,0.588733,0.13362216152037137,0.0017832538255675167,-4057.774693,0.706222,0.062650378305556,0.0017832538255675167,-4440.038379,0.706222
Fe324B36,1800.0,324,36,0.1,0.15370404156111464,0.0006783183434567627,-4783.107832,0.199456,0.15419409297222256,0.001325378050967472,-4699.83652,0.337827,0.04445136717222198,0.001325378050967472,-5214.89404,0.337827
Fe128B32,1800.0,128,32,0.2,0.099185796511113,0.0012019763535946514,-2021.56091,0.183408,0.09739153858333313,0.0018290080652216996,-1984.913881,0.257673,-0.01592045934999966,0.0018290080652216996,-2205.132413,0.257673
Fe252B108,1800.0,252,108,0.3,0.05729470146111326,0.000851600104788957,-4309.370489,0.280503,0.057443268916665284,0.0014312822990037084,-4226.208402,0.420278,-0.060682265038889224,0.0014312822990037084,-4702.582211,0.420278
Fe216B144,1800.0,216,144,0.4,0.055060643911111935,0.0008543157485527869,-4055.952397,0.282229,0.05532670411111111,0.001397200568879694,-3972.741158,0.406384,-0.08071747975555721,0.001397200568879694,-4434.71492,0.406384
Fe200B200,1800.0,200,200,0.5,0.09966488302777975,0.0007524054134935103,-4206.302798,0.26652,0.10031654458333321,0.0012936713134340855,-4113.684009,0.388888,-0.06525684975000104,0.0012936713134340855,-4615.632361,0.388888
Fe160B240,1800.0,160,240,0.6,0.18223414103333424,0.0006647661632531021,-3890.805814,0.220208,0.18226749700000028,0.001399667405829085,-3798.426731,0.423685,-0.015824192799999536,0.001399667405829085,-4290.214889,0.423685
Fe120B280,1800.0,120,280,0.7,0.2649687065388906,0.0007147794880344266,-3575.242707,0.235155,0.2656644644166664,0.0014991858771100741,-3482.591047,0.446029,0.050313471650000566,0.0014991858771100741,-3958.115414,0.446029
Fe135B405,1800.0,135,405,0.75,0.3007256767453715,0.0006577404725497861,-4616.602126,0.270233,0.3012930217361111,0.0014115690330494216,-4491.586587,0.507424,0.0868398803101846,0.0014115690330494216,-5117.421572,0.507424
Fe72B288,1800.0,72,288,0.8,0.33484696926666846,0.0008027536586005727,-2938.339909,0.239579,0.3352144476666663,0.0017170355170344456,-2855.064741,0.471962,0.1242185030444451,0.0017170355170344456,-3260.618093,0.471962
Fe81B459,1800.0,81,459,0.85,0.3622531025287058,0.0007833041649606671,-4202.043787,0.337342,0.36456191248611064,0.00164619327815841,-4076.077575,0.626487,0.16164110355648095,0.00164619327815841,-4664.408959,0.626487
Fe54B486,1800.0,54,486,0.9,0.3037734848648159,0.006443430971205863,-4042.956016,3.469065,0.30345274860185156,0.006572242535188074,-3918.404618,3.486298,0.1354319938833332,0.006572242535188074,-4472.251902,3.486298
Fe324B36,2000.0,324,36,0.1,0.16369350638888816,0.0008409697832378542,-4764.749736,0.241131,0.16458172639999905,0.0014869581006804356,-4671.990674,0.362907,0.02732873373333307,0.0014869581006804356,-5273.751948,0.362907
Fe128B32,2000.0,128,32,0.2,0.11196454194444456,0.001184552597072681,-2013.050902,0.174266,0.11047004499444349,0.0018134493156311041,-1972.182393,0.24159,-0.025595198949998732,0.0018134493156311041,-2229.024407,0.24159
Fe252B108,2000.0,252,108,0.3,0.07560676916666706,0.0008770272564420302,-4288.445694,0.274135,0.07650631219999898,0.001546362422820176,-4195.576833,0.440823,-0.07315160246666766,0.001546362422820176,-4754.925573,0.440823
Fe216B144,2000.0,216,144,0.4,0.07269976444444397,0.0009228234912119662,-4035.484582,0.295932,0.07442664537777673,0.001620950161378992,-3942.265018,0.48074,-0.09482961362222177,0.001620950161378992,-4485.230009,0.48074
Fe200B200,2000.0,200,200,0.5,0.11720303861111063,0.0008029852660945229,-4183.839744,0.273715,0.11676050411111134,0.0015006268095900579,-4081.071482,0.470913,-0.08649847449999924,0.0015006268095900579,-4671.923501,0.470913
Fe160B240,2000.0,160,240,0.6,0.19165535083333396,0.0007052438794095944,-3871.828115,0.221283,0.19109180923333327,0.001564257121056199,-3769.049521,0.488274,-0.04792091759999948,0.001564257121056199,-4348.159536,0.488274
Fe120B280,2000.0,120,280,0.7,0.27555455055555567,0.0007176248321840517,-3556.037731,0.217159,0.275298004355555,0.0016203862163753444,-3453.077604,0.491302,0.015733659300000227,0.0016203862163753444,-4014.364763,0.491302
Fe135B405,2000.0,135,405,0.75,0.31434258495370343,0.0007203959271598154,-4589.199673,0.285214,0.3146095527037039,0.0015625321438075864,-4449.881158,0.596054,0.05013188714814768,0.0015625321438075864,-5192.692651,0.596054
Fe72B288,2000.0,72,288,0.8,0.35292248722222247,0.0007791959560992551,-2918.573867,0.211102,0.35416722531111117,0.0016807389827931474,-2825.316429,0.437716,0.09128874453333412,0.0016807389827931474,-3308.228808,0.437716
Fe81B459,2000.0,81,459,0.85,0.38770395060185164,0.0007952538844477013,-4168.573085,0.315946,0.3877390053259256,0.0016678875449321405,-4029.300511,0.614416,0.12761002784444472,0.0016678875449321405,-4734.604983,0.614416
Fe54B486,2000.0,54,486,0.9,0.41861292231481506,0.0009091487548790511,-3961.376515,0.38416,0.4191565973777777,0.0016948076471302934,-3821.78964,0.598181,0.1688776481925928,0.0016948076471302934,-4504.195732,0.598181
Fe324B36,2300.0,324,36,0.1,0.16680475699999917,0.000961966802472719,-4738.642206,0.24458,0.16784654116666833,0.001563794629237245,-4632.155526,0.403231,-0.0009107605333328353,0.001563794629237245,-5368.247968,0.403231
Fe128B32,2300.0,128,32,0.2,0.12176367983333414,0.0013418050369352083,-2000.688782,0.190255,0.12026102524999996,0.001977876049547247,-1953.771639,0.271783,-0.05207614084444288,0.001977876049547247,-2269.21028,0.271783
Fe252B108,2300.0,252,108,0.3,0.09077256655555711,0.00089823402149075,-4259.399326,0.247816,0.09189751905555504,0.0015204029636050468,-4152.896926,0.420931,-0.10114562393333447,0.0015204029636050468,-4842.443769,0.420931
Fe216B144,2300.0,216,144,0.4,0.08926967411111156,0.0008872560463024801,-4006.633133,0.250458,0.09158919688888936,0.0015684570584436003,-3899.707798,0.443193,-0.1266251181333328,0.0015684570584436003,-4570.672012,0.443193
Fe200B200,2300.0,200,200,0.5,0.12920518833333347,0.0008776926190003562,-4154.387904,0.275136,0.12993485999999962,0.0015863913916046221,-4036.225817,0.488269,-0.12677084261110963,0.0015863913916046221,-4766.422331,0.488269
Fe160B240,2300.0,160,240,0.6,0.19985891700000025,0.000819546120579522,-3844.67393,0.238877,0.20181529199999942,0.0016763502704300465,-3726.029062,0.509007,-0.09490280403333429,0.0016763502704300465,-4441.514699,0.509007
Fe120B280,2300.0,120,280,0.7,0.28249003566666775,0.0007967300497699962,-3530.169,0.210974,0.2829188240000008,0.0018291490798350366,-3412.143067,0.552602,-0.043931155455555884,0.0018291490798350366,-4108.965623,0.552602
Fe135B405,2300.0,135,405,0.75,0.32483876212962953,0.0007474683137736386,-4552.879412,0.224223,0.324964748935185,0.0017151533367509078,-4393.713248,0.627547,-0.01273294088888869,0.0017151533367509078,-5319.548274,0.627547
Fe72B288,2300.0,72,288,0.8,0.36606702100000094,0.0008924173159301167,-2893.757151,0.220297,0.3662035971111108,0.0019131230842433051,-2787.646118,0.495481,0.02515958839999889,0.0019131230842433051,-3392.252018,0.495481
Fe81B459,2300.0,81,459,0.85,0.40695956875925915,0.0008601267197834009,-4128.573325,0.283838,0.40823383417592696,0.0018491322407876082,-3968.797756,0.652149,0.06916154176296409,0.0018491322407876082,-4853.908691,0.652149
Fe54B486,2300.0,54,486,0.9,0.4474091322592594,0.0008934656827867796,-3916.750135,0.289396,0.4487531860555565,0.0019485924520943085,-3756.942213,0.687443,0.11203479512592501,0.0019485924520943085,-4620.048853,0.687443
